TAG,SP,Species Group,XCO,YCO,D86,D90,D95,D00,D05,D10
1853,SHORM1,Sal,102.3116478,2.985543897,2.0,2.3,3.0,3.1,3.6,3.7
1854,ARDICR,Pulai,102.3116504,2.985544997,1.0,1.5,1.5,1.5,1.8,1.8
1855,LEPISE,Pulai,102.3116402,2.98554878,1.5,1.8,2.0,2.1,2.8,3.4
1856,SHORBR,Sal,102.3116521,2.985559628,1.5,2.1,2.3,2.1,0.0,0.0
1857,CRY1RU,Pulai,102.3116576,2.985545526,8.6,9.3,10.0,10.4,0.0,0.0
1858,ARDICR,Pulai,102.3116587,2.985542886,3.0,3.7,3.8,3.9,4.8,4.8
1859,SHORM1,Sal,102.3116604,2.985544823,2.0,3.2,3.6,3.8,3.9,4.0
1860,SHORM1,Sal,102.3116527,2.985563302,1.0,1.7,2.3,2.7,3.1,3.4
1861,NEPHCO,Pulai,102.3116405,2.985569659,3.0,3.7,3.8,4.4,4.4,5.1
1862,APORPR,Pulai,102.3116508,2.985577669,5.5,6.6,7.2,7.2,7.3,7.5
1863,IXONIC,Pulai,102.3116535,2.985577867,20.9,23.1,25.4,26.6,29.0,30.5
1864,GIROPA,Alder,102.3116598,2.985577428,1.0,1.8,2.2,2.3,2.8,0.0
1865,NEPHCO,Pulai,102.311662,2.985572148,2.5,2.7,3.4,3.4,4.1,4.2
1866,ARDICR,Pulai,102.3116627,2.98557492,1.0,1.3,1.5,1.6,1.6,0.0
1867,DIOSS1,Pulai,102.3116701,2.985571841,1.0,1.8,2.1,2.2,2.3,0.0
1868,SHORM1,Sal,102.311567,2.985538171,1.0,2.5,3.6,3.6,4.1,0.0
1869,CLE1M2,Pulai,102.3116786,2.985567024,1.5,2.1,2.2,2.1,3.1,3.0
1870,UROPGL,Pulai,102.311669,2.985562689,2.0,2.4,2.5,2.7,2.6,2.5
1871,XANTST,Pulai,102.3116775,2.985545177,1.0,1.4,2.2,1.6,2.2,2.4
1872,NEOBHE,Chen,102.3116799,2.985537191,1.0,1.3,1.6,1.8,2.3,2.3
1873,DRYPPE,Pulai,102.3116722,2.985542976,2.5,3.1,3.3,3.6,3.8,3.8
1874,POPOPI,Pulai,102.3116683,2.985535429,1.0,1.0,1.2,1.3,1.6,1.6
1875,IXORC2,Pulai,102.3116421,2.985499036,1.0,1.4,1.4,1.4,1.4,0.0
1876,SHORP1,Sal,102.3116509,2.985489709,2.5,3.0,3.2,3.1,3.3,0.0
1877,LEPTGL,Pulai,102.3116482,2.985501303,1.0,1.1,1.2,1.1,0.0,0.0
1878,PAVEGR,Pulai,102.3116635,2.985489733,1.0,0.0,0.0,0.0,0.0,0.0
1879,ANT1CO,Alder,102.3116471,2.985503943,17.3,17.8,17.9,19.4,21.4,22.3
1880,MEL1FU,Pulai,102.3116417,2.985504449,1.5,2.2,2.3,2.3,3.0,3.9
1881,MACALO,Alder,102.3116625,2.985503263,1.5,2.3,2.5,2.9,3.7,4.2
1882,BARRMA,Pulai,102.3116586,2.985519301,2.0,2.4,2.6,2.9,3.8,4.0
1883,MESUGR,Pulai,102.31164,2.985526999,1.5,1.5,2.4,2.1,2.9,3.2
1884,ANAXJA,Pulai,102.3116545,2.985526253,1.0,1.5,1.8,1.8,2.3,2.5
1885,ROTHMA,Pulai,102.3116469,2.985531136,1.0,1.1,1.3,1.2,1.1,0.0
1886,SHORGU,Sal,102.3116661,2.985516222,1.5,2.8,3.1,3.6,4.9,5.4
1887,HOMALO,Pulai,102.3116694,2.985531887,3.5,2.5,3.9,0.0,3.8,4.0
1888,GIROPA,Alder,102.3116775,2.985532483,6.3,6.8,7.3,7.8,8.3,8.8
1889,SHORAC,Sal,102.3116738,2.985508633,3.0,3.8,3.8,0.0,0.0,0.0
